batter,batter_name,spearman_rho,p_value,parks
452678,Asdrúbal Cabrera,0.6006016042780749,0.0002194982028441255,33
594777,Kole Calhoun,0.5975935828877006,0.0002405239908521111,33
605361,Nick Martini,0.5972593582887701,0.00024296751794282323,33
544369,Didi Gregorius,0.5969251336898397,0.0002454331337715111,33
642727,Sergio Alcántara,0.5962566844919787,0.0002504313258615503,33
624503,Nick Gordon,0.5942513368983958,0.00026597428646836513,33
592348,Niko Goodrum,0.5942513368983958,0.00026597428646836513,33
543105,Alex Dickerson,0.5919117647058824,0.0002851885706896723,33
544725,Leury García,0.591577540106952,0.0002880319536504298,33
665019,Kody Clemens,0.5909090909090909,0.0002937944888229101,33
503556,Marwin González,0.5899064171122995,0.0003026306322054447,33
519203,Anthony Rizzo,0.589572192513369,0.00030562809082197007,33
506702,Sandy León,0.5868983957219251,0.00033057410645228875,33
518792,Jason Heyward,0.5862299465240642,0.00033708657546268977,33
641680,Jonah Heim,0.5852272727272728,0.00034706907917912656,33
666152,David Hamilton,0.5828877005347594,0.0003713896518679734,33
700932,Kyle Manzardo,0.5822192513368984,0.00037861071501649586,33
623205,Andrew Velazquez,0.5818850267379679,0.0003822677635691531,33
600303,Tommy La Stella,0.5802139037433156,0.0004010274160091474,33
621453,Steven Duggar,0.5792112299465241,0.0004126711907716929,33
686948,Drake Baldwin,0.5778743315508021,0.0004286622842673598,33
672779,Tucupita Marcano,0.5741978609625669,0.00047550694018756967,33
621433,Brett Phillips,0.5731951871657754,0.0004890453107228678,33
607461,Matt Beaty,0.571524064171123,0.0005123690148503715,33
663853,Romy Gonzalez,0.5705213903743316,0.0005268311077887607,33
677950,Alek Thomas,0.5701871657754012,0.0005317314514150003,33
700337,Edgar Quero,0.5655080213903744,0.0006046986700736181,33
701350,Roman Anthony,0.5625000000000001,0.000656153478703886,33
594694,Wilmer Difo,0.5594919786096257,0.0007114372971597218,33
594809,Adam Eaton,0.5591577540106952,0.0007178266692775421,33
686894,Joey Wiemer,0.5551470588235294,0.0007985434387094984,33
700242,Trey Sweeney,0.554144385026738,0.0008199316576865263,33
570256,Gregory Polanco,0.5538101604278075,0.000827172388938447,33
641856,Billy Mckinney,0.5514705882352942,0.0008794543225598405,33
668709,Jj Bleday,0.5511363636363636,0.0008871558308266667,33
642336,Francisco Mejía,0.5477941176470589,0.000967498128557702,33
660636,Diego Castillo,0.5467914438502675,0.0009928167805819538,33
641470,Zack Collins,0.5441176470588236,0.0010632033534342493,33
592743,Andrelton Simmons,0.5364304812834225,0.0012905745523090783,33
672356,Gabriel Arias,0.5347593582887701,0.001345296989778258,33
666801,Rodolfo Castro,0.5334224598930482,0.001390528224520284,33
663586,Austin Riley,0.5284090909090909,0.0015722286259555911,33
572761,Matt Carpenter,0.5267379679144385,0.0016372451448772231,33
665506,Cristian Pache,0.5257352941176471,0.0016773728397754435,33
541645,Avisaíl García,0.5243983957219251,0.0017322118232680525,33
571912,Luke Maile,0.5240641711229946,0.0017461638152539627,33
666624,Christopher Morel,0.5210561497326203,0.0018762137012252244,33
669374,Keston Hiura,0.5210561497326203,0.0018762137012252244,33
621439,Byron Buxton,0.5207219251336899,0.0018911724760432226,33
614177,Franmil Reyes,0.5190508021390374,0.0019675376677660643,33
667670,Brent Rooker,0.5187165775401069,0.001983129241336924,33
656305,Matt Chapman,0.5170454545454546,0.0020627138009659614,33
677588,José Tena,0.5150401069518717,0.00216187718459383,33
676059,Jordan Westburg,0.5080213903743316,0.002542384422076592,33
641531,Hunter Dozier,0.5076871657754011,0.0025618706586846285,33
682641,Luis Matos,0.5073529411764707,0.002581486508220136,33
520471,Freddy Galvis,0.5060160427807487,0.0026612604041966067,33
665487,Fernando Tatís,0.5053475935828877,0.0027019437931263468,33
668904,Royce Lewis,0.5043449197860963,0.0027639808978409306,33
543309,Kyle Higashioka,0.5040106951871658,0.002784932763518293,33
641598,Mitch Garver,0.502005347593583,0.002913561095986834,33
669720,Austin Hays,0.5013368983957219,0.0029575666904047317,33
542583,Jesús Aguilar,0.5013368983957219,0.0029575666904047317,33
519048,Mitch Moreland,0.5010026737967915,0.002979784711791185,33
624585,Jorge Soler,0.49899732620320864,0.0031161549597823065,33
687263,Zach Neto,0.4986631016042781,0.0031394010175038274,33
602104,Ramón Urías,0.4986631016042781,0.0031394010175038274,33
669450,Cooper Hummel,0.4986631016042781,0.0031394010175038274,33
605141,Mookie Betts,0.49766042780748665,0.0032100425277471452,33
606213,Yermín Mercedes,0.49565508021390375,0.003355463172259421,33
542194,Christian Bethancourt,0.4943181818181819,0.003455546066281274,33
669221,Sean Murphy,0.4939839572192514,0.00348096636611703,33
621550,Patrick Wisdom,0.4939839572192514,0.00348096636611703,33
658069,Joshua Fuentes,0.49298128342245995,0.0035581996990351594,33
671218,Heliot Ramos,0.49264705882352944,0.0035842711144496112,33
696100,Hunter Goodman,0.491644385026738,0.003663478237822284,33
676572,Eric Wagaman,0.49131016042780756,0.0036902144418093324,33
592450,Aaron Judge,0.49131016042780756,0.0036902144418093324,33
669394,Jake Burger,0.49097593582887705,0.003717119004067853,33
641914,Sheldon Neuse,0.49064171122994654,0.0037441927956729164,33
519317,Giancarlo Stanton,0.49064171122994654,0.0037441927956729164,33
660670,Ronald Acuña,0.4903074866310161,0.003771436691022264,33
592200,Curt Casali,0.4903074866310161,0.003771436691022264,33
686611,Dylan Crews,0.4899732620320856,0.0037988515678423736,33
656180,Riley Adams,0.4893048128342246,0.003854197793480938,33
657041,Lane Thomas,0.4889705882352942,0.0038821309144506785,33
521692,Salvador Pérez,0.4876336898395722,0.003995617617623868,33
691406,Junior Caminero,0.48596256684491984,0.004141490706956734,33
693304,Nick Gonzales,0.48562834224598933,0.004171209741552078,33
679529,Spencer Torkelson,0.48562834224598933,0.004171209741552078,33
669304,José Miranda,0.48562834224598933,0.004171209741552078,33
572191,Michael Taylor,0.4852941176470589,0.004201112398670071,33
621493,Taylor Ward,0.483288770053476,0.0043844366432432,33
608686,Jack Mayfield,0.482620320855615,0.004447056191613176,33
606115,Orlando Arcia,0.48195187165775405,0.004510444149839411,33
642201,Eli White,0.4806149732620321,0.004639556107448712,33
605119,Brian Anderson,0.47961229946524064,0.0047384647436361374,33
656577,Alex Jackson,0.4776069518716578,0.004941732189020604,33
518595,Travis D'Arnaud,0.4776069518716578,0.004941732189020604,33
657656,Ramón Laureano,0.4766042780748663,0.005046144979917826,33
663630,Ryan Mckenna,0.4759358288770053,0.0051168013459440675,33
676914,Davis Schneider,0.4756016042780749,0.005152446948725852,33
664056,Harrison Bader,0.47493315508021394,0.0052243781430787225,33
668901,Mark Vientos,0.47493315508021394,0.0052243781430787225,33
663898,Brendan Rodgers,0.47393048128342247,0.005333890461711125,33
623520,David Bote,0.4725935828877006,0.005482966468522243,33
545358,Max Stassi,0.4705882352941177,0.005713274461571301,33
553993,Eugenio Suárez,0.4705882352941177,0.005713274461571301,33
425877,Yadier Molina,0.47025401069518724,0.005752453851339486,33
642721,Kelvin Gutiérrez,0.46991978609625673,0.005791863193387307,33
571718,Brian Goodwin,0.4695855614973262,0.005831503578992835,33
650490,Yandy Díaz,0.4695855614973262,0.005831503578992835,33
